document,source
6605865,http://www.emis.de/journals/EJDE/Volumes/2016/165/bentabia.pdf
6605849,http://www.emis.de/journals/EJDE/Volumes/2016/149/carriao.pdf
6605846,http://www.emis.de/journals/EJDE/Volumes/2016/146/jleli.pdf
6605338,http://www.emis.de/journals/EJDE/Volumes/2016/85/fan.pdf
6553522,http://www.emis.de/journals/EJDE/Volumes/2016/53/li.pdf
6605377,http://www.emis.de/journals/EJDE/Volumes/2016/124/kamachkin.pdf
6605855,http://www.emis.de/journals/EJDE/Volumes/2016/155/wang.pdf
6605368,http://www.emis.de/journals/EJDE/Volumes/2016/115/phung.pdf
6605895,http://www.emis.de/journals/EJDE/Volumes/2016/195/zhou.pdf
6605373,http://www.emis.de/journals/EJDE/Volumes/2016/120/hasil.pdf
6605348,http://www.emis.de/journals/EJDE/Volumes/2016/95/dosly.pdf
6605889,http://www.emis.de/journals/EJDE/Volumes/2016/189/li.pdf
6605319,http://www.emis.de/journals/EJDE/Volumes/2016/66/jiang.pdf
6605382,http://www.emis.de/journals/EJDE/Volumes/2016/129/trajkovic.pdf
6605340,http://www.emis.de/journals/EJDE/Volumes/2016/87/imanbaev.pdf
6605333,http://www.emis.de/journals/EJDE/Volumes/2016/80/kerimov.pdf
6605344,http://www.emis.de/journals/EJDE/Volumes/2016/91/jleli.pdf
6605857,http://www.emis.de/journals/EJDE/Volumes/2016/157/benia.pdf
6605850,http://www.emis.de/journals/EJDE/Volumes/2016/150/wang.pdf
6605896,http://www.emis.de/journals/EJDE/Volumes/2016/196/terra.pdf
6553527,http://www.emis.de/journals/EJDE/Volumes/2016/58/agarwal.pdf
6553524,http://www.emis.de/journals/EJDE/Volumes/2016/55/niu.pdf
6535718,http://www.emis.de/journals/EJDE/Volumes/2016/08/bouchekif.pdf
6535713,http://www.emis.de/journals/EJDE/Volumes/2016/03/wang.pdf
6637313,http://www.emis.de/journals/EJDE/Volumes/2016/243/dhar.pdf
6553528,http://www.emis.de/journals/EJDE/Volumes/2016/59/yao.pdf
6553519,http://www.emis.de/journals/EJDE/Volumes/2016/50/zhang.pdf
6637304,http://www.emis.de/journals/EJDE/Volumes/2016/234/afrouzi.pdf
6535725,http://www.emis.de/journals/EJDE/Volumes/2016/15/malysheva.pdf
6553523,http://www.emis.de/journals/EJDE/Volumes/2016/54/mukherjee.pdf
6535732,http://www.emis.de/journals/EJDE/Volumes/2016/22/messaoudi.pdf
6535733,http://www.emis.de/journals/EJDE/Volumes/2016/23/li.pdf
6535731,http://www.emis.de/journals/EJDE/Volumes/2016/21/ismailov.pdf
6614088,http://www.emis.de/journals/EJDE/Volumes/2016/207/li.pdf
6605329,http://www.emis.de/journals/EJDE/Volumes/2016/76/kalmenov.pdf
6605336,http://www.emis.de/journals/EJDE/Volumes/2016/83/islam.pdf
6605334,http://www.emis.de/journals/EJDE/Volumes/2016/81/zhan.pdf
6605339,http://www.emis.de/journals/EJDE/Volumes/2016/86/liu.pdf
6605343,http://www.emis.de/journals/EJDE/Volumes/2016/90/kuttler.pdf
6605346,http://www.emis.de/journals/EJDE/Volumes/2016/93/li.pdf
6605363,http://www.emis.de/journals/EJDE/Volumes/2016/110/hassine.pdf
6605379,http://www.emis.de/journals/EJDE/Volumes/2016/126/sun.pdf
6605387,http://www.emis.de/journals/EJDE/Volumes/2016/134/leng.pdf
6605391,http://www.emis.de/journals/EJDE/Volumes/2016/138/oussaeif.pdf
6605392,http://www.emis.de/journals/EJDE/Volumes/2016/139/zhang.pdf
6605398,http://www.emis.de/journals/EJDE/Volumes/2016/145/goyal.pdf
6605330,http://www.emis.de/journals/EJDE/Volumes/2016/77/zhang.pdf
6553525,http://www.emis.de/journals/EJDE/Volumes/2016/56/heidarkhani.pdf
6605325,http://www.emis.de/journals/EJDE/Volumes/2016/72/hao.pdf
6605361,http://www.emis.de/journals/EJDE/Volumes/2016/108/bachar.pdf
6605353,http://www.emis.de/journals/EJDE/Volumes/2016/100/kandilakis.pdf
6605356,http://www.emis.de/journals/EJDE/Volumes/2016/103/zhang.pdf
6605367,http://www.emis.de/journals/EJDE/Volumes/2016/114/azeroual.pdf
6553503,http://www.emis.de/journals/EJDE/Volumes/2016/34/hoshino.pdf
6553506,http://www.emis.de/journals/EJDE/Volumes/2016/37/friz.pdf
6553515,http://www.emis.de/journals/EJDE/Volumes/2016/46/wang.pdf
6553520,http://www.emis.de/journals/EJDE/Volumes/2016/51/herlea.pdf
6553531,http://www.emis.de/journals/EJDE/Volumes/2016/62/rihani.pdf
6605861,http://www.emis.de/journals/EJDE/Volumes/2016/161/turmetov.pdf
6605877,http://www.emis.de/journals/EJDE/Volumes/2016/177/araujo.pdf
6605879,http://www.emis.de/journals/EJDE/Volumes/2016/179/zhao.pdf
6605872,http://www.emis.de/journals/EJDE/Volumes/2016/172/almusalhi.pdf
6605853,http://www.emis.de/journals/EJDE/Volumes/2016/153/guo.pdf
6605350,http://www.emis.de/journals/EJDE/Volumes/2016/97/lin.pdf
6614094,http://www.emis.de/journals/EJDE/Volumes/2016/213/milojevic.pdf
6605863,http://www.emis.de/journals/EJDE/Volumes/2016/163/ou.pdf
6605868,http://www.emis.de/journals/EJDE/Volumes/2016/168/pingali.pdf
6605322,http://www.emis.de/journals/EJDE/Volumes/2016/69/rasouli.pdf
6605327,http://www.emis.de/journals/EJDE/Volumes/2016/74/lopez.pdf
6605328,http://www.emis.de/journals/EJDE/Volumes/2016/75/zhu.pdf
6605331,http://www.emis.de/journals/EJDE/Volumes/2016/78/chung.pdf
6605341,http://www.emis.de/journals/EJDE/Volumes/2016/88/chen.pdf
6605349,http://www.emis.de/journals/EJDE/Volumes/2016/96/ghanmi.pdf
6605359,http://www.emis.de/journals/EJDE/Volumes/2016/106/xu.pdf
6605376,http://www.emis.de/journals/EJDE/Volumes/2016/123/hartenstine.pdf
6605380,http://www.emis.de/journals/EJDE/Volumes/2016/127/kim.pdf
6605389,http://www.emis.de/journals/EJDE/Volumes/2016/136/dao.pdf
6605396,http://www.emis.de/journals/EJDE/Volumes/2016/143/zhan.pdf
6605397,http://www.emis.de/journals/EJDE/Volumes/2016/144/qi.pdf
6605866,http://www.emis.de/journals/EJDE/Volumes/2016/166/wang.pdf
6605870,http://www.emis.de/journals/EJDE/Volumes/2016/170/xu.pdf
6605873,http://www.emis.de/journals/EJDE/Volumes/2016/173/shi.pdf
6605883,http://www.emis.de/journals/EJDE/Volumes/2016/183/jia.pdf
6553504,http://www.emis.de/journals/EJDE/Volumes/2016/35/ding.pdf
6553529,http://www.emis.de/journals/EJDE/Volumes/2016/60/zhang.pdf
6605887,http://www.emis.de/journals/EJDE/Volumes/2016/187/hu.pdf
6553517,https://ejde.math.txstate.edu/Volumes/2016/48/fetouci.pdf
5561795,http://www.emis.de/journals/EJDE/Volumes/2008/49/wei.pdf
5561881,http://www.emis.de/journals/EJDE/Volumes/2008/135/ma.pdf
5561828,http://www.emis.de/journals/EJDE/Volumes/2008/82/artes.pdf
5243128,http://www.emis.de/journals/EJDE/Volumes/2008/02/carvajal.pdf
5561777,http://www.emis.de/journals/EJDE/Volumes/2008/31/du.pdf
5243153,http://www.emis.de/journals/EJDE/Volumes/2008/27/mbengue.pdf
5243150,http://www.emis.de/journals/EJDE/Volumes/2008/24/jin.pdf
5243148,http://www.emis.de/journals/EJDE/Volumes/2008/22/avery.pdf
5243144,http://www.emis.de/journals/EJDE/Volumes/2008/18/tian.pdf
5243140,http://www.emis.de/journals/EJDE/Volumes/2008/14/meirmanov.pdf
5243130,http://www.emis.de/journals/EJDE/Volumes/2008/04/bokalo.pdf
5561803,http://www.emis.de/journals/EJDE/Volumes/2008/57/long.pdf
5561796,http://www.emis.de/journals/EJDE/Volumes/2008/50/chatzarakis.pdf
5561794,http://www.emis.de/journals/EJDE/Volumes/2008/48/stamova.pdf
5561793,http://www.emis.de/journals/EJDE/Volumes/2008/47/kelevedjiev.pdf
5561791,http://www.emis.de/journals/EJDE/Volumes/2008/45/xu.pdf
5561790,http://www.emis.de/journals/EJDE/Volumes/2008/44/chicone.pdf
5561789,http://www.emis.de/journals/EJDE/Volumes/2008/43/baruah.pdf
6535735,http://www.emis.de/journals/EJDE/Volumes/2016/25/abbas.pdf
6535740,http://www.emis.de/journals/EJDE/Volumes/2016/30/fernandez.pdf
6535742,http://www.emis.de/journals/EJDE/Volumes/2016/32/elfarissi.pdf
6535720,http://www.emis.de/journals/EJDE/Volumes/2016/10/wang.pdf
6535723,http://www.emis.de/journals/EJDE/Volumes/2016/13/villamizar.pdf
6535727,http://www.emis.de/journals/EJDE/Volumes/2016/17/jleli.pdf
6535736,http://www.emis.de/journals/EJDE/Volumes/2016/26/zhang.pdf
6535743,http://www.emis.de/journals/EJDE/Volumes/2016/33/yu.pdf
6553507,http://www.emis.de/journals/EJDE/Volumes/2016/38/dosla.pdf
6553510,http://www.emis.de/journals/EJDE/Volumes/2016/41/kirac.pdf
6553512,http://www.emis.de/journals/EJDE/Volumes/2016/43/santos.pdf
6605886,http://www.emis.de/journals/EJDE/Volumes/2016/186/vilasi.pdf
6614078,http://www.emis.de/journals/EJDE/Volumes/2016/197/abdou.pdf
6605847,http://www.emis.de/journals/EJDE/Volumes/2016/147/li.pdf
6605352,http://www.emis.de/journals/EJDE/Volumes/2016/99/zhang.pdf
6605358,http://www.emis.de/journals/EJDE/Volumes/2016/105/galewski.pdf
6605366,http://www.emis.de/journals/EJDE/Volumes/2016/113/guimaraes.pdf
6605375,http://www.emis.de/journals/EJDE/Volumes/2016/122/labouriau.pdf
6605378,http://www.emis.de/journals/EJDE/Volumes/2016/125/bieske.pdf
6605858,http://www.emis.de/journals/EJDE/Volumes/2016/158/alves.pdf
6605862,http://www.emis.de/journals/EJDE/Volumes/2016/162/oliveira.pdf
6637330,http://www.emis.de/journals/EJDE/Volumes/2016/260/hai.pdf
6637334,http://www.emis.de/journals/EJDE/Volumes/2016/264/alsaedi.pdf
6637336,http://www.emis.de/journals/EJDE/Volumes/2016/266/jenssen.pdf
6637338,http://www.emis.de/journals/EJDE/Volumes/2016/268/bezia.pdf
6637299,http://www.emis.de/journals/EJDE/Volumes/2016/229/sharaf.pdf
6637305,http://www.emis.de/journals/EJDE/Volumes/2016/235/ali.pdf
6637340,http://www.emis.de/journals/EJDE/Volumes/2016/270/alvarez.pdf
6605371,http://www.emis.de/journals/EJDE/Volumes/2016/118/sapagovas.pdf
6637339,http://www.emis.de/journals/EJDE/Volumes/2016/269/tiryaki.pdf
6637319,http://www.emis.de/journals/EJDE/Volumes/2016/249/mei.pdf
6605874,http://www.emis.de/journals/EJDE/Volumes/2016/174/pecher.pdf
6605320,http://www.emis.de/journals/EJDE/Volumes/2016/67/korman.pdf
6605372,http://www.emis.de/journals/EJDE/Volumes/2016/119/pagliardini.pdf
6605851,http://www.emis.de/journals/EJDE/Volumes/2016/151/ambrosio.pdf
6605864,http://www.emis.de/journals/EJDE/Volumes/2016/164/abdullaev.pdf
6614083,http://www.emis.de/journals/EJDE/Volumes/2016/202/ferreira.pdf
6605337,http://www.emis.de/journals/EJDE/Volumes/2016/84/tisdell.pdf
6614080,http://www.emis.de/journals/EJDE/Volumes/2016/199/janno.pdf
6553514,http://www.emis.de/journals/EJDE/Volumes/2016/45/li.pdf
6535737,http://www.emis.de/journals/EJDE/Volumes/2016/27/zhang.pdf
6605871,http://www.emis.de/journals/EJDE/Volumes/2016/171/elkhannoussi.pdf
6605364,http://www.emis.de/journals/EJDE/Volumes/2016/111/rosiu.pdf
6605385,http://www.emis.de/journals/EJDE/Volumes/2016/132/bensid.pdf
6605354,http://www.emis.de/journals/EJDE/Volumes/2016/101/li.pdf
6605332,http://www.emis.de/journals/EJDE/Volumes/2016/79/yamazaki.pdf
6614085,http://www.emis.de/journals/EJDE/Volumes/2016/204/aramaki.pdf
6553513,http://www.emis.de/journals/EJDE/Volumes/2016/44/afonso.pdf
6614087,http://www.emis.de/journals/EJDE/Volumes/2016/206/truong.pdf
6614089,http://www.emis.de/journals/EJDE/Volumes/2016/208/wang.pdf
6614090,http://www.emis.de/journals/EJDE/Volumes/2016/209/pan.pdf
6614091,http://www.emis.de/journals/EJDE/Volumes/2016/210/madeira.pdf
6637285,http://www.emis.de/journals/EJDE/Volumes/2016/215/bohner.pdf
6637307,http://www.emis.de/journals/EJDE/Volumes/2016/237/popescu.pdf
6637320,http://www.emis.de/journals/EJDE/Volumes/2016/250/almeida.pdf
6637328,http://www.emis.de/journals/EJDE/Volumes/2016/258/hopker.pdf
6637333,http://www.emis.de/journals/EJDE/Volumes/2016/263/korvenpaa.pdf
6637335,http://www.emis.de/journals/EJDE/Volumes/2016/265/jaiem.pdf
6637337,http://www.emis.de/journals/EJDE/Volumes/2016/267/rehak.pdf
6637288,http://www.emis.de/journals/EJDE/Volumes/2016/218/wang.pdf
6637317,http://www.emis.de/journals/EJDE/Volumes/2016/247/dias.pdf
6637286,http://www.emis.de/journals/EJDE/Volumes/2016/216/wen.pdf
6637292,http://www.emis.de/journals/EJDE/Volumes/2016/222/batal.pdf
6637315,http://www.emis.de/journals/EJDE/Volumes/2016/245/donatelli.pdf
6637321,http://www.emis.de/journals/EJDE/Volumes/2016/251/karakostas.pdf
6637323,http://www.emis.de/journals/EJDE/Volumes/2016/253/avery.pdf
6637332,http://www.emis.de/journals/EJDE/Volumes/2016/262/wen.pdf
6553518,http://www.emis.de/journals/EJDE/Volumes/2016/49/maagli.pdf
6605321,http://www.emis.de/journals/EJDE/Volumes/2016/68/abdelwahed.pdf
6605345,http://www.emis.de/journals/EJDE/Volumes/2016/92/saanouni.pdf
6637287,http://www.emis.de/journals/EJDE/Volumes/2016/217/figueiredo.pdf
6637291,http://www.emis.de/journals/EJDE/Volumes/2016/221/konate.pdf
6637309,http://www.emis.de/journals/EJDE/Volumes/2016/239/diaz.pdf
6637318,http://www.emis.de/journals/EJDE/Volumes/2016/248/jegdic.pdf
6535711,http://www.emis.de/journals/EJDE/Volumes/2016/01/karakostas.pdf
6535721,http://www.emis.de/journals/EJDE/Volumes/2016/11/manafov.pdf
6535726,http://www.emis.de/journals/EJDE/Volumes/2016/16/huang.pdf
6605393,http://www.emis.de/journals/EJDE/Volumes/2016/140/adimy.pdf
6605384,http://www.emis.de/journals/EJDE/Volumes/2016/131/aydemir.pdf
6605882,http://www.emis.de/journals/EJDE/Volumes/2016/182/hamani.pdf
5854917,http://www.emis.de/journals/EJDE/Volumes/2011/24/ayoujil.pdf
5973724,http://www.emis.de/journals/EJDE/2011/151/tadie.pdf
5973721,http://www.emis.de/journals/EJDE/2011/148/xu.pdf
5973725,http://www.emis.de/journals/EJDE/2011/152/hakimi.pdf
5973710,http://www.emis.de/journals/EJDE/2011/137/dai.pdf
5956875,http://www.emis.de/journals/EJDE/2011/68/benlahsen.pdf
6028631,http://www.emis.de/journals/EJDE/2011/163/dossa.pdf
5973706,http://www.emis.de/journals/EJDE/2011/133/gonzalez.pdf
5973726,http://www.emis.de/journals/EJDE/2011/153/tyagi.pdf
6028635,http://www.emis.de/journals/EJDE/2011/167/afrouzi.pdf
6028632,http://www.emis.de/journals/EJDE/2011/164/chen.pdf
5956916,http://www.emis.de/journals/EJDE/2011/109/denk.pdf
5973722,http://www.emis.de/journals/EJDE/2011/149/arciga.pdf
5973707,http://www.emis.de/journals/EJDE/2011/134/furi.pdf
5956873,http://www.emis.de/journals/EJDE/2011/66/ren.pdf
5973704,http://www.emis.de/journals/EJDE/2011/131/sidiammi.pdf
5880328,http://www.emis.de/journals/EJDE/Volumes/2011/34/arshad.pdf
5854906,http://www.emis.de/journals/EJDE/Volumes/2011/13/song.pdf
5880343,http://www.emis.de/journals/EJDE/Volumes/2011/49/zhao.pdf
5880334,http://www.emis.de/journals/EJDE/Volumes/2011/40/muthulakshmi.pdf
5880345,http://www.emis.de/journals/EJDE/Volumes/2011/51/anedda.pdf
5956898,http://www.emis.de/journals/EJDE/2011/91/heidarkhani.pdf
5895762,http://www.emis.de/journals/EJDE/Volumes/2011/56/brooks.pdf
5880346,http://www.emis.de/journals/EJDE/Volumes/2011/52/joseph.pdf
5854919,http://www.emis.de/journals/EJDE/Volumes/2011/26/hakimi.pdf
5854923,http://www.emis.de/journals/EJDE/Volumes/2011/30/chung.pdf
5854909,http://www.emis.de/journals/EJDE/Volumes/2011/16/ma.pdf
5854896,http://www.emis.de/journals/EJDE/Volumes/2011/03/akdim.pdf
